name,sku,price_net,stock,category,description,image_path,active
CONECTOR RJ45 PCB UNIDAD,R1-25,1000,143,conectores,"<p>CONECTOR,PCB,PLACA,RJ45,HEMBRA,SOLDAR,MONTAJE,</p>",products/R1-25.jpg,True
MARCADOR SCORESHOW 200-50,ScoreShow-200-5,0,0,deportivo,,products/ScoreShow-200-5.jpg,True
MARCADOR SCORESHOW 200-40,ScoreShow-200-40,0,0,deportivo,,products/ScoreShow-200-40.jpg,True
MARCADOR SCORESHOW 160-40,ScoreShow-160-40,0,0,deportivo,,products/ScoreShow-160-40.jpg,True
MARCADOR SCORESHOW 160-25,ScoreShow-160-25,0,0,deportivo,,products/ScoreShow-160-25.jpg,True
PULSADOR GAMER VERDE,H1-3,1700,32,inicio,"<p>PULSADOR,GAMER,VERDE</p>",products/H1-3.jpg,True
PULSADOR GAMER AMBAR,H1-1,1700,45,inicio,"<p>PULSADOR,GAMER,AMBAR</p>",products/H1-1.jpg,True
PULSADOR METALICO ALTO 19MM IP67 2 PINES,H3-13,4800,346,inicio,"<p>PULSADOR, METALICO, 15MM 5 PINES</p>",products/H3-13.jpg,True
CONECTOR DE AVIACION GX16 - 4 PINES MACHO Y  HEMBRA,Q1-4P,2300,20,alimentacion,"<p>CONECTOR, HEMBRA, MACHO, GX16, AVIACION,</p>",products/Q1-4P.jpg,True
CONECTOR DE AVIACION GX16 - 3 PINES MACHO Y  HEMBRA,H4,2300,24,alimentacion,"<p>CONECTOR, HEMBRA, MACHO, GX16, AVIACION,</p>",products/H4.jpg,True
CONECTOR GX16 -3 PIN MAHO AEREO,Q1-3PMA,2300,24,alimentacion,"<p>CONECTOR, HEMBRA, MACHO, GX16, AEREO,AVIACION,</p>",products/Q1-3PMA.jpg,True
MARCADOR SCORESHOW 360,ScoreShow-360,0,0,deportivo,,products/ScoreShow-360.jpg,True
Marcador ScoreSHOW 490,ScoreSHOW-490,0,0,deportivo,<p>Marcador Multideportivo  de 120x230cm Full color alta definición</p>,products/ScoreSHOW-490.jpg,True
Marcador ScoreSHOW 540,ScoreSHOW-540,0,0,deportivo,<p>Marcador Multideportivo  de 100x330cm Full color alta definición</p>,products/ScoreSHOW-540.jpg,True
Marcador ScoreSHOW 1000,ScoreSHOW-1000,0,0,deportivo,<p>Marcador Multideportivo  de 170x330cm Full color alta definición</p>,products/ScoreSHOW-1000.jpg,True
Marcador ScoreSHOW 1210,ScoreSHOW-1210,0,0,deportivo,<p>Marcador Multideportivo  de 184x360cm Full color alta definición</p>,products/ScoreSHOW-1210.jpg,True
SERVICIO TECNICO,,0,-1,desarrollos,,products/.jpg,False
INTERRUPTOR ON-OFF 2 PINES,M3B-KCD1,0,47,electricidad,"<p>INTERRUPTOR, 2 PINES, ON-OFF,6A 250V AC, 10A 250V AC, 20mm X 15mm X 10mm,BLANCO,</p>",products/M3B-KCD1.jpg,True
MODULO LED 16X32,,0,0,desarrollos,,products/.jpg,True
CAUTIN 40W PINSUN,M340,3000,2,cautin,<p>220-240V</p>,products/M340.jpg,True
MARCADOR DEPORTIVO MM4896BT,MM4896BT,0,0,deportivo,,products/MM4896BT.jpg,True
PERNO PARKER 4X40MM (25 UNIDADES) ZINCADO,3256070005000C,4400,20,ferreteria,"<p>M4, PARKER, ALLEN, 25MM, ANCLAJE, PERNO</p>",products/3256070005000C.jpg,True
CABLE RED CAT7 10MTS,CT710M-C,6000,1,cables,,products/CT710M-C.jpg,True
TORNILLO ROSCALATA 6x1/2 (100 U),,1100,10,ferreteria,"<p>doble, TORNILLO, RANURA, ROSCALATA</p>",products/.jpg,True
DISCO DE PULIDO,,4800,2,electronica,"<p>pulido, DISCO, ABRASIVO, AMOLADORA</p>",products/.jpg,True
